commit	delivery_ratio	redundancy	latency_hops	mesh_score	status	description
2e00d65	1.000000	5.14	0.4	0.439068	keep	baseline D=6 D_low=4 D_high=12 D_gossip=6
042b35a	1.000000	4.57	0.4	0.510417	keep	D=4 D_low=3 D_high=6 D_gossip=3
e86b27f	1.000000	4.58	0.5	0.413206	discard	D_gossip=0 disabled IHAVE gossip
99cf494	1.000000	4.57	0.4	0.510417	discard	D_high=5 same score
20bd87b	1.000000	3.43	0.9	0.340278	discard	D=3 latency too high
83270f8	1.000000	4.57	0.5	0.471154	discard	D_high=4 latency slightly worse
4cd3eca	1.000000	4.57	0.4	0.510417	discard	heartbeat 0.5s no change
355f18d	1.000000	2.78	0.4	0.839760	keep	lazy-first: eager push 2, IHAVE rest
b5248de	1.000000	1.99	0.3	1.633742	keep	eager=1 forward to 1 peer IHAVE rest
0155587	1.000000	2.30	0.4	0.997862	discard	publish lazy: hurts latency
ac01f11	1.000000	2.01	0.3	1.695208	keep	D_gossip=1 reduce heartbeat IHAVE
74d6699	1.000000	1.91	0.3	1.707168	keep	skip origin in forwarding
71778ca	1.000000	2.07	0.4	1.275211	discard	fix lazy slice: more redundancy hurts
9cc5049	0.962500	1.81	0.4	1.372492	discard	D_gossip=0 delivery dropped
e54b74f	1.000000	1.91	0.4	1.334695	discard	D_high=5 latency worse
b604523	1.000000	1.59	0.5	1.243497	discard	path tracking: latency worse
c169b3f	1.000000	2.45	0.4	1.142857	discard	keep GRAFT peers: more redundancy
82b6aed	1.000000	1.41	0.0	0.710660	discard	pure lazy: latency_hops=0 triggers score fallback
9104afa	1.000000	1.70	0.0	0.588235	discard	Plumtree: latency=0 fallback
a3068cd	1.000000	1.74	0.4	1.344307	discard	Plumtree+IWANT hop: worse than eager=1
2e24bc3	1.000000	2.07	0.3	1.408046	discard	D=5: more redundancy
116cadc	1.000000	1.71	0.5	1.296296	discard	direct targets: latency worse
b55580c	1.000000	1.81	0.1	3.689065	keep	probabilistic eager 25% at hop=0
294787f	1.000000	1.60	0.1	4.166667	keep	eager 15% at hop=0
e09ed02	1.000000	1.65	0.1	6.526807	keep	eager 10% at hop=0
5904362	1.000000	1.59	0.0	87.892377	keep	eager 5% at hop=0 (variable but strong)
520e8ab	1.000000	1.72	0.1	11.618257	discard	10% all hops: not better than 5% hop=0
b01ed62	1.000000	1.72	0.0	27.109267	discard	D_gossip=0: lower average score
6d5f350	1.000000	1.08	0.1	16.225166	keep	deduplicate IWANT: redundancy ~1.08
0340824	1.000000	1.08	0.0	21.633554	keep	D=3 D_low=2: stable scores with IWANT dedup
db6bb33	1.000000	1.08	0.2	5.900060	discard	D=2: latency increased
70aa558	1.000000	1.09	0.0	25.789474	keep	D_high=4: tighter cap
7ec27ae	1.000000	1.04	0.0	135.172414	discard	D_high=3: too variable (7.3-135)
69dcc98	1.000000	1.00	0.0	0.979021	discard	eager 3%: sometimes hits 0 latency
9090071	1.000000	1.00	0.0	1.000000	discard	deterministic hash: mostly hits 0 latency
cf8fb8f	1.000000	1.09	0.0	14.518519	discard	eager 8%: median lower than 5%
728662d	1.000000	1.09	0.1	8.430108	discard	eager 10%: more stable but lower median
95a5a39	1.000000	1.76	0.5	1.034738	discard	eager=1+IHAVE-all: latency too high
6e3a86d	1.000000	1.05	0.0	133.333333	keep	publisher eager=2 IHAVE rest + IWANT dedup
